nav #                 start point           target point          bigstride steps       stride size           path length           
26                    (10, 26)              (20, 30)              2                     1                     11                    
26                    (10, 26)              (20, 30)              2                     2                     9                     
27                    (10, 26)              (20, 31)              1                     1                     11                    
27                    (10, 26)              (20, 31)              1                     2                     10                    
27                    (10, 26)              (20, 31)              2                     1                     11                    
27                    (10, 26)              (20, 31)              2                     2                     9                     
28                    (10, 26)              (20, 32)              1                     1                     11                    
28                    (10, 26)              (20, 32)              1                     2                     10                    
28                    (10, 26)              (20, 32)              2                     1                     11                    
28                    (10, 26)              (20, 32)              2                     2                     9                     
29                    (10, 26)              (20, 33)              1                     1                     11                    
29                    (10, 26)              (20, 33)              1                     2                     10                    
29                    (10, 26)              (20, 33)              2                     1                     11                    
29                    (10, 26)              (20, 33)              2                     2                     9                     
30                    (10, 26)              (20, 34)              1                     1                     11                    
30                    (10, 26)              (20, 34)              1                     2                     10                    
30                    (10, 26)              (20, 34)              2                     1                     11                    
30                    (10, 26)              (20, 34)              2                     2                     9                     
31                    (10, 26)              (21, 30)              1                     1                     12                    
31                    (10, 26)              (21, 30)              1                     2                     11                    
31                    (10, 26)              (21, 30)              2                     1                     12                    
31                    (10, 26)              (21, 30)              2                     2                     10                    
32                    (10, 26)              (21, 31)              1                     1                     12                    
32                    (10, 26)              (21, 31)              1                     2                     11                    
32                    (10, 26)              (21, 31)              2                     1                     12                    
32                    (10, 26)              (21, 31)              2                     2                     10                    
33                    (10, 26)              (21, 32)              1                     1                     12                    
33                    (10, 26)              (21, 32)              1                     2                     11                    
33                    (10, 26)              (21, 32)              2                     1                     12                    
33                    (10, 26)              (21, 32)              2                     2                     10                    
34                    (10, 26)              (21, 33)              1                     1                     12                    
34                    (10, 26)              (21, 33)              1                     2                     11                    
34                    (10, 26)              (21, 33)              2                     1                     12                    
34                    (10, 26)              (21, 33)              2                     2                     10                    
35                    (10, 26)              (21, 34)              1                     1                     12                    
35                    (10, 26)              (21, 34)              1                     2                     11                    
35                    (10, 26)              (21, 34)              2                     1                     12                    
35                    (10, 26)              (21, 34)              2                     2                     10                    
36                    (10, 26)              (22, 30)              1                     1                     13                    
36                    (10, 26)              (22, 30)              1                     2                     12                    
36                    (10, 26)              (22, 30)              2                     1                     13                    
36                    (10, 26)              (22, 30)              2                     2                     11                    
37                    (10, 26)              (22, 31)              1                     1                     13                    
37                    (10, 26)              (22, 31)              1                     2                     12                    
37                    (10, 26)              (22, 31)              2                     1                     13                    
37                    (10, 26)              (22, 31)              2                     2                     11                    
38                    (10, 26)              (22, 32)              1                     1                     13                    
38                    (10, 26)              (22, 32)              1                     2                     12                    
38                    (10, 26)              (22, 32)              2                     1                     13                    
38                    (10, 26)              (22, 32)              2                     2                     11                    
39                    (10, 26)              (22, 33)              1                     1                     13                    
39                    (10, 26)              (22, 33)              1                     2                     12                    
39                    (10, 26)              (22, 33)              2                     1                     13                    
39                    (10, 26)              (22, 33)              2                     2                     11                    
40                    (10, 26)              (22, 34)              1                     1                     13                    
40                    (10, 26)              (22, 34)              1                     2                     12                    
40                    (10, 26)              (22, 34)              2                     1                     13                    
40                    (10, 26)              (22, 34)              2                     2                     11                    
41                    (10, 26)              (23, 30)              1                     1                     14                    
41                    (10, 26)              (23, 30)              1                     2                     13                    
41                    (10, 26)              (23, 30)              2                     1                     14                    
41                    (10, 26)              (23, 30)              2                     2                     12                    
42                    (10, 26)              (23, 31)              1                     1                     14                    
42                    (10, 26)              (23, 31)              1                     2                     13                    
42                    (10, 26)              (23, 31)              2                     1                     14                    
42                    (10, 26)              (23, 31)              2                     2                     12                    
43                    (10, 26)              (23, 32)              1                     1                     14                    
43                    (10, 26)              (23, 32)              1                     2                     13                    
43                    (10, 26)              (23, 32)              2                     1                     14                    
43                    (10, 26)              (23, 32)              2                     2                     12                    
44                    (10, 26)              (23, 33)              1                     1                     14                    
44                    (10, 26)              (23, 33)              1                     2                     13                    
44                    (10, 26)              (23, 33)              2                     1                     14                    
44                    (10, 26)              (23, 33)              2                     2                     12                    
45                    (10, 26)              (23, 34)              1                     1                     14                    
45                    (10, 26)              (23, 34)              1                     2                     13                    
45                    (10, 26)              (23, 34)              2                     1                     14                    
45                    (10, 26)              (23, 34)              2                     2                     12                    
46                    (10, 26)              (24, 30)              1                     1                     15                    
46                    (10, 26)              (24, 30)              1                     2                     14                    
46                    (10, 26)              (24, 30)              2                     1                     15                    
46                    (10, 26)              (24, 30)              2                     2                     13                    
47                    (10, 26)              (24, 31)              1                     1                     15                    
47                    (10, 26)              (24, 31)              1                     2                     14                    
47                    (10, 26)              (24, 31)              2                     1                     15                    
47                    (10, 26)              (24, 31)              2                     2                     13                    
48                    (10, 26)              (24, 32)              1                     1                     15                    
48                    (10, 26)              (24, 32)              1                     2                     14                    
48                    (10, 26)              (24, 32)              2                     1                     15                    
48                    (10, 26)              (24, 32)              2                     2                     13                    
49                    (10, 26)              (24, 33)              1                     1                     15                    
49                    (10, 26)              (24, 33)              1                     2                     14                    
49                    (10, 26)              (24, 33)              2                     1                     15                    
49                    (10, 26)              (24, 33)              2                     2                     13                    
50                    (10, 26)              (24, 34)              1                     1                     15                    
50                    (10, 26)              (24, 34)              1                     2                     14                    
50                    (10, 26)              (24, 34)              2                     1                     15                    
50                    (10, 26)              (24, 34)              2                     2                     13                    
51                    (10, 27)              (20, 30)              1                     1                     11                    
51                    (10, 27)              (20, 30)              1                     2                     10                    
51                    (10, 27)              (20, 30)              2                     1                     11                    
51                    (10, 27)              (20, 30)              2                     2                     9                     
52                    (10, 27)              (20, 31)              1                     1                     11                    
52                    (10, 27)              (20, 31)              1                     2                     10                    
52                    (10, 27)              (20, 31)              2                     1                     11                    
52                    (10, 27)              (20, 31)              2                     2                     9                     
53                    (10, 27)              (20, 32)              1                     1                     11                    
53                    (10, 27)              (20, 32)              1                     2                     10                    
53                    (10, 27)              (20, 32)              2                     1                     11                    
53                    (10, 27)              (20, 32)              2                     2                     9                     
54                    (10, 27)              (20, 33)              1                     1                     11                    
54                    (10, 27)              (20, 33)              1                     2                     10                    
54                    (10, 27)              (20, 33)              2                     1                     11                    
54                    (10, 27)              (20, 33)              2                     2                     9                     
55                    (10, 27)              (20, 34)              1                     1                     11                    
55                    (10, 27)              (20, 34)              1                     2                     10                    
55                    (10, 27)              (20, 34)              2                     1                     11                    
55                    (10, 27)              (20, 34)              2                     2                     9                     
56                    (10, 27)              (21, 30)              1                     1                     12                    
56                    (10, 27)              (21, 30)              1                     2                     11                    
56                    (10, 27)              (21, 30)              2                     1                     12                    
56                    (10, 27)              (21, 30)              2                     2                     10                    
57                    (10, 27)              (21, 31)              1                     1                     12                    
57                    (10, 27)              (21, 31)              1                     2                     11                    
57                    (10, 27)              (21, 31)              2                     1                     12                    
57                    (10, 27)              (21, 31)              2                     2                     10                    
58                    (10, 27)              (21, 32)              1                     1                     12                    
58                    (10, 27)              (21, 32)              1                     2                     11                    
58                    (10, 27)              (21, 32)              2                     1                     12                    
58                    (10, 27)              (21, 32)              2                     2                     10                    
59                    (10, 27)              (21, 33)              1                     1                     12                    
59                    (10, 27)              (21, 33)              1                     2                     11                    
